geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330151.03,151.03,746860,1351,34385,2865.42,47.15,8.08,293.7
9330115,115,748367,1334,45870,3822.5,34.9,8.10,290
9330188.01,188.01,754720,1353,41050,3420.83,39.55,8.21,294.13
9330141.01,141.01,757679,997,48576,4048,24.63,8.25,216.74
9330182.06,182.06,758924,1462,39616,3301.33,44.29,8.27,317.83
9330161.01,161.01,759327,1076,48081,4006.75,26.85,8.28,233.91
9330188.05,188.05,760445,821,42089,3507.42,23.41,8.30,178.48
9330287.14,287.14,760889,1334,41748,3479,38.34,8.31,290
9330018.02,18.02,762648,959,32385,2698.75,35.53,8.33,208.48
9330144.06,144.06,764211,1147,30688,2557.33,44.85,8.36,249.35
9330188.07,188.07,770104,924,39988,3332.33,27.73,8.46,200.87
9330053.01,53.01,770534,955,33837,2819.75,33.87,8.46,207.61
9330052.01,52.01,773273,908,28291,2357.58,38.51,8.51,197.39
9330036.01,36.01,775419,819,29428,2452.33,33.4,8.54,178.04
9330505.02,505.02,775536,1029,49834,4152.83,24.78,8.54,223.7
9330221.01,221.01,776207,1340,58725,4893.75,27.38,8.55,291.3
9330054.01,54.01,776367,929,38204,3183.67,29.18,8.56,201.96
9330035.01,35.01,776717,883,28809,2400.75,36.78,8.56,191.96
9330014.02,14.02,778012,717,23652,1971,36.38,8.58,155.87
9330149.09,149.09,778051,1070,31991,2665.92,40.14,8.58,232.61
9330260.06,260.06,778571,992,58067,4838.92,20.5,8.59,215.65
9330033.01,33.01,780426,953,32965,2747.08,34.69,8.62,207.17
9330059.08,59.08,780807,1576,63043,5253.58,30,8.63,342.61
9330018.01,18.01,781544,970,26845,2237.08,43.36,8.64,210.87
9330033.02,33.02,783292,814,27969,2330.75,34.92,8.67,176.96
9330241,241,785909,1011,41446,3453.83,29.27,8.71,219.78
9330014.01,14.01,786240,960,28449,2370.75,40.49,8.72,208.7
9330180.02,180.02,787514,1364,49695,4141.25,32.94,8.74,296.52
9330144.03,144.03,788440,1354,31320,2610,51.88,8.75,294.35
9330031.02,31.02,794378,1068,36941,3078.42,34.69,8.85,232.17
9330047.01,47.01,794555,1140,72045,6003.75,18.99,8.85,247.83
9330180.01,180.01,797380,1478,65221,5435.08,27.19,8.90,321.3
9330004.02,4.02,797944,940,29590,2465.83,38.12,8.91,204.35
9330013.01,13.01,800053,938,27712,2309.33,40.62,8.94,203.91
9330112,112,803191,1189,41687,3473.92,34.23,8.99,258.48
9330160.01,160.01,804027,1501,56825,4735.42,31.7,9.01,326.3
9330048,48,804644,1202,58249,4854.08,24.76,9.02,261.3
9330051.01,51.01,806890,1053,37307,3108.92,33.87,9.05,228.91
9330142.03,142.03,810863,1197,37078,3089.83,38.74,9.12,260.22
9330142.02,142.02,812148,1142,42835,3569.58,31.99,9.14,248.26
9330140.03,140.03,814168,1108,34437,2869.75,38.61,9.17,240.87
9330145.02,145.02,814885,1127,38912,3242.67,34.76,9.18,245
9330013.04,13.04,815790,837,25713,2142.75,39.06,9.20,181.96
9330003.01,3.01,817743,932,26800,2233.33,41.73,9.23,202.61
9330054.02,54.02,819846,978,37810,3150.83,31.04,9.26,212.61
9330003.02,3.02,826856,944,25462,2121.83,44.49,9.38,205.22
9330228.02,228.02,827694,1106,34082,2840.17,38.94,9.39,240.43
9330188.06,188.06,829022,1164,43106,3592.17,32.4,9.41,253.04
9330170.04,170.04,829694,999,50915,4242.92,23.55,9.42,217.17
9330143.01,143.01,830219,1164,37391,3115.92,37.36,9.43,253.04
9330011,11,832031,836,33306,2775.5,30.12,9.46,181.74
9330100.01,100.01,833369,1166,48988,4082.33,28.56,9.48,253.48
9330149.02,149.02,833628,1272,42606,3550.5,35.83,9.49,276.52
9330041.02,41.02,836627,1382,57288,4774,28.95,9.54,300.43
9330013.03,13.03,837717,847,28831,2402.58,35.25,9.55,184.13
9330017.01,17.01,838127,910,27974,2331.17,39.04,9.56,197.83
9330104,104,840929,1287,47644,3970.33,32.42,9.61,279.78
9330114.01,114.01,845027,1025,50163,4180.25,24.52,9.67,222.83
9330225.01,225.01,845892,1246,35798,2983.17,41.77,9.69,270.87
9330114.02,114.02,846381,1226,50445,4203.75,29.16,9.70,266.52
9330181.07,181.07,848079,1558,60157,5013.08,31.08,9.72,338.7
9330036.02,36.02,848167,980,30327,2527.25,38.78,9.72,213.04
9330015.02,15.02,855539,881,30163,2513.58,35.05,9.84,191.52
9330242,242,859093,1064,36732,3061,34.76,9.90,231.3
9330059.07,59.07,866558,1777,78710,6559.17,27.09,10.02,386.3
9330238.02,238.02,873354,1164,36266,3022.17,38.52,10.13,253.04
9330226.02,226.02,880824,983,37980,3165,31.06,10.26,213.7
9330221.04,221.04,881709,1039,29944,2495.33,41.64,10.27,225.87
9330232,232,883221,1111,38950,3245.83,34.23,10.29,241.52
9330221.03,221.03,883875,1021,42366,3530.5,28.92,10.31,221.96
9330066,66,887271,1646,56484,4707,34.97,10.36,357.83
9330130.03,130.03,887541,1311,46595,3882.92,33.76,10.37,285
9330502.05,502.05,888155,1173,49228,4102.33,28.59,10.37,255
9330004.01,4.01,889532,952,32136,2678,35.55,10.40,206.96
