geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330044,44,72355,946,1249416,46.06,6029.58,15.69,230.17
9330045.01,45.01,53470,1196,990401,13.65,4455.83,26.84,291
9330045.02,45.02,45070,1097,637596,7.15,3755.83,29.21,266.91
9330046,46,44470,936,517285,4.93,3705.83,25.26,227.74
9330047.01,47.01,44873,988,595678,6.37,3739.42,26.42,240.39
9330047.02,47.02,40266,982,409293,3.77,3355.5,29.27,238.93
9330048,48,45463,1052,487706,4.50,3788.58,27.77,255.96
9330049.01,49.01,51287,1045,412596,3.80,4273.92,24.45,254.26
9330049.02,49.02,49036,1029,483231,4.45,4086.33,25.18,250.36
9330050.02,50.02,21666,682,358743,3.31,1805.5,37.77,165.94
9330050.03,50.03,29548,735,278142,2.56,2462.33,29.85,178.83
9330050.04,50.04,24521,667,250583,2.31,2043.42,32.64,162.29
9330051,51,27573,810,532098,5.20,2297.75,35.25,197.08
9330052.01,52.01,22587,729,587310,6.22,1882.25,38.73,177.37
9330052.02,52.02,26013,744,571373,5.92,2167.75,34.32,181.02
9330053.01,53.01,28449,975,528326,5.13,2370.75,41.13,237.23
9330053.02,53.02,31160,967,558230,5.68,2596.67,37.24,235.28
9330054.01,54.01,31530,854,543295,5.41,2627.5,32.5,207.79
9330054.02,54.02,28646,966,532589,5.21,2387.17,40.47,235.04
9330055.01,55.01,24726,699,425365,3.92,2060.5,33.92,170.07
9330055.02,55.02,28904,697,341945,3.15,2408.67,28.94,169.59
9330056.01,56.01,23008,663,319907,2.95,1917.33,34.58,161.31
9330056.02,56.02,31889,758,454495,4.19,2657.42,28.52,184.43
9330057.01,57.01,16872,535,1012126,37.32,1406,38.05,130.17
9330057.02,57.02,21794,608,433846,4.00,1816.17,33.48,147.93
9330058,58,14478,392,356551,3.29,1206.5,32.49,95.38
9330059.03,59.03,58387,1458,710932,8.50,4865.58,29.97,354.74
9330059.04,59.04,42643,936,373306,3.44,3553.58,26.34,227.74
9330059.05,59.05,37942,1211,440055,4.06,3161.83,38.3,294.65
9330059.06,59.06,18184,450,304399,2.81,1515.33,29.7,109.49
9330060.01,60.01,44023,923,440564,4.06,3668.58,25.16,224.57
9330060.02,60.02,33524,901,371407,3.42,2793.67,32.25,219.22
9330061,61,34371,917,403093,3.72,2864.25,32.02,223.11
